id,count,Kingdom,Phylum,Class,Order,Family,Genus,count
10317.000012326,3214,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,"",3214
10317.000012326,2260,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,2260
10317.000012326,1452,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus_2,1452
10317.000012326,1371,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,1371
10317.000012326,862,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,862
10317.000012326,520,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,520
10317.000012326,402,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,402
10317.000012326,385,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,385
10317.000012326,381,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,381
10317.000012326,351,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_6,351
10317.000012326,337,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group,337
10317.000012326,304,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,304
10317.000012326,257,Bacteria,Firmicutes,Clostridia,"","","",257
10317.000012326,235,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,"",235
10317.000012326,228,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,228
10317.000012326,219,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,219
10317.000012326,209,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,209
10317.000012326,198,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,198
10317.000012326,191,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,191
10317.000012326,184,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,184
10317.000012326,168,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,168
10317.000012326,153,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",153
10317.000012326,150,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,150
10317.000012326,139,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,"","",139
10317.000012326,135,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,135
10317.000012326,133,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,133
10317.000012326,129,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,129
10317.000012326,118,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,118
10317.000012326,115,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,115
10317.000012326,114,Bacteria,Firmicutes,Clostridia,"","","",114
10317.000012326,111,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,111
10317.000012326,104,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,104
10317.000012326,102,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sutterella,102
10317.000012326,101,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,101
10317.000012326,99,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,99
10317.000012326,96,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,96
10317.000012326,87,Bacteria,Tenericutes,Mollicutes,Izimaplasmatales,"","",87
10317.000012326,86,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Parasutterella,86
10317.000012326,85,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-002,85
10317.000012326,78,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,78
10317.000012326,77,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,77
10317.000012326,67,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,67
10317.000012326,61,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_1,61
10317.000012326,59,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",59
10317.000012326,58,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,58
10317.000012326,56,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"",56
10317.000012326,53,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,53
10317.000012326,51,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,"",51
10317.000012326,50,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,50
10317.000012326,49,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,49
10317.000012326,48,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,48
10317.000012326,48,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,CAG-352,48
10317.000012326,47,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",47
10317.000012326,45,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,45
10317.000012326,45,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",45
